,Restaurant,User-Rating,No-Ratings,Address,Feature1,Feature2,Feature3,Feature4,Feature5,City
194," Király 21 Beerhouse & Grill
",4.9,56,Király utca 21,Pizza,Olasz,Nemzetközi,Mexikói,Amerikai,Pécs
195," Elefántos Étterem és Pizzéria
",4.6,46,Jókai tér 6,Pizza,Olasz,Algida,Készpénzes fizetés,SZÉP kártyás fizetés,Pécs
196," Bellozzo - Pécs
",4.9,134,Bajcsy-Zsilinszky utca 11,Pizza,Tészta,Olasz,NetPincér GO,SZÉP kártyás fizetés,Pécs
197," Tutto Bene Pizzéria
",4.9,65,Hunyadi út 2,Olasz,Pizza,Készpénzes fizetés,,,Pécs
198," Pizza Expressz Futárszolgálat
",4.6,44,Szabadság utca 26,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,,Pécs
199," Lucifer's Kitchen
",4.8,157,Felsővámház utca 51,Pizza,Hamburger,Készpénzes fizetés,,,Pécs
200," NaPizza
",4.9,342,Megyeri út 72,Olasz,Pizza,Készpénzes fizetés,,,Pécs
201," Paradicsom Pizza
",4.7,162,Rókusalja utca 14,Magyaros,Pizza,Készpénzes fizetés,,,Pécs
202," Oliva Étterem Pizzéria
",4.4,39,Citrom utca 12,Magyaros,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,Pécs
203," Pizza Zone Pécs
",4.1,23,Szabadság utca 26,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,,Pécs
204," Pizza Bagoly Pécs
",4.5,31,József Attila utca 41,Olasz,Hamburger,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,Pécs
205," Grizzly Pizzéria
",4.7,66,Őz utca 5,Pizza,Készpénzes fizetés,,,,Pécs
206," Inferno's Pizzéria
",4.5,61,Őz utca 5,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,,Pécs
207," Elixír Restaurant and Pizzeria
",4.6,93,Ifjúság útja 11,Olasz,Nemzetközi,Magyaros,Mexikói,Hamburger,Pécs
208," Happy Hippo
",4.8,457,Esztergár Lajos utca 10,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,,Pécs
209," Azzurra Ristorante Pizzeria Bar
",4.5,81,Király utca 19,Pizza,Saláta,Tészta,Olasz,Saláta,Pécs
210," Ernesto Pizzéria - Pécs
",4.3,66,József Attila utca 41,Olasz,Magyaros,Hamburger,Amerikai,Pizza,Pécs
211," Új Duplapizza
",4.7,211,Esztergár Lajos utca 10,Pizza,Készpénzes fizetés,,,,Pécs
212," Flekken Főzőkonyha
",4.5,278,Iparsziget utca 18,Olasz,Magyaros,Vegetariánus,Pizza,Vegetáriánus,Pécs
213," Panda Fast Food
",4.4,84,Százszorszép utca 19,Nemzetközi,Magyaros,Hamburger,Tészta,Pizza,Pécs
214," GP Ring (Grappa Pizzéria)
",4.6,81,Szaturnusz utca 2,Olasz,Pizza,Algida,Készpénzes fizetés,SZÉP kártyás fizetés,Pécs
215," Park Pizza
",4.8,117,Dózsa György utca 104,Magyaros,Amerikai,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,Pécs
